,Unnamed: 0,City,Lat,Lon,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date,Hotel Name
16,16,Ponta do Sol,32.67,-17.1,73.99,69,0,2.15,PT,1595681508,
73,73,Santa Marinella,42.03,11.85,84.99,38,0,1.99,IT,1595681521,
183,183,Kyzyl-Suu,42.34,78.0,72.45,45,0,3.78,KG,1595681540,
222,222,Sampit,-2.53,112.95,75.13,85,0,4.72,ID,1595681547,
231,231,Pervomayskiy,53.25,40.29,70.23,46,0,3.27,RU,1595681549,
406,406,Vila Velha,-20.33,-40.29,75.99,73,0,4.7,BR,1595681582,
475,475,Mozarlândia,-14.74,-50.57,84.65,32,0,4.88,BR,1595681594,
527,527,Prainha,-1.8,-53.48,83.75,65,0,4.27,BR,1595681604,
545,545,Linhares,-19.39,-40.07,79.43,59,0,1.03,BR,1595681607,
